Name,Nationality,Years,Link
"Haar, Francis",American,1908 - 1997,https://web.archive.org/web/20121007173111/http://www.nga.gov/cgi-bin/tsearch?artistid=28078
"Haas, Hildegarde",American,1926 - 2002,https://web.archive.org/web/20121007173111/http://www.nga.gov/cgi-bin/tsearch?artistid=33510
"Haas, H.P.",NA,NA,https://web.archive.org/web/20121007173111/http://www.nga.gov/cgi-bin/tsearch?artistid=15172
"Haas, Richard John",American,born 1936,https://web.archive.org/web/20121007173111/http://www.nga.gov/cgi-bin/tsearch?artistid=4278
"Haasen, Paul",French,active 20th century,https://web.archive.org/web/20121007173111/http://www.nga.gov/cgi-bin/tsearch?artistid=17779
"Haasen, Raymond",French,active mid 20th century,https://web.archive.org/web/20121007173111/http://www.nga.gov/cgi-bin/tsearch?artistid=12370
"Haass, Terry",American,born 1923,https://web.archive.org/web/20121007173111/http://www.nga.gov/cgi-bin/tsearch?artistid=2552
"Haberer, Charles Winston",American,1905 - 1958,https://web.archive.org/web/20121007173111/http://www.nga.gov/cgi-bin/tsearch?artistid=5807
"Haberle, John",American,1856 - 1933,https://web.archive.org/web/20121007173111/http://www.nga.gov/cgi-bin/tsearch?artistid=22811
"Hackaert, Jan",Dutch,probably 1628 - probably 1699,https://web.archive.org/web/20121007173111/http://www.nga.gov/cgi-bin/tsearch?artistid=4279
"Hackaert, Joan",Dutch,probably 1628 - probably 1699,https://web.archive.org/web/20121007173111/http://www.nga.gov/cgi-bin/tsearch?artistid=4279
"Hackney, Malcolm",American,active c. 1935,https://web.archive.org/web/20121007173111/http://www.nga.gov/cgi-bin/tsearch?artistid=7610
"Hadcock, R. Neville",British,active 1930,https://web.archive.org/web/20121007173111/http://www.nga.gov/cgi-bin/tsearch?artistid=4280
"Haddoca, A.",American,active 1828 or after,https://web.archive.org/web/20121007173111/http://www.nga.gov/cgi-bin/tsearch?artistid=1367
Haddock,American,active 1828 or after,https://web.archive.org/web/20121007173111/http://www.nga.gov/cgi-bin/tsearch?artistid=1367
"Haddock, A.",American,active 1828 or after,https://web.archive.org/web/20121007173111/http://www.nga.gov/cgi-bin/tsearch?artistid=1367
"Haden, Francis Seymour",British,1818 - 1910,https://web.archive.org/web/20121007173111/http://www.nga.gov/cgi-bin/tsearch?artistid=2553
"Haden, Francis Seymour Sir",British,1818 - 1910,https://web.archive.org/web/20121007173111/http://www.nga.gov/cgi-bin/tsearch?artistid=2553
"Haden, Seymour",British,1818 - 1910,https://web.archive.org/web/20121007173111/http://www.nga.gov/cgi-bin/tsearch?artistid=2553
"Hadgadya, Miriam (Marussia)",American,1895 - 1982,https://web.archive.org/web/20121007173111/http://www.nga.gov/cgi-bin/tsearch?artistid=33511
"Hadley, Shirley Thomson",American,born 1917,https://web.archive.org/web/20121007173111/http://www.nga.gov/cgi-bin/tsearch?artistid=4281
"Iacovleff, Alexandre",Russian,1887 - 1938,https://web.archive.org/web/20121007172931/http://www.nga.gov/cgi-bin/tsearch?artistid=12041
"Iams, J. Howard",American,active c. 1935,https://web.archive.org/web/20121007172931/http://www.nga.gov/cgi-bin/tsearch?artistid=7671
"Ibbetson, Julius Caesar",British,1759 - 1817,https://web.archive.org/web/20121007172931/http://www.nga.gov/cgi-bin/tsearch?artistid=6540
"Ibels, Henri-Gabriel",French,1867 - 1936,https://web.archive.org/web/20121007172931/http://www.nga.gov/cgi-bin/tsearch?artistid=4412
"Ibling, Miriam",American,1895 - 1985,https://web.archive.org/web/20121007172931/http://www.nga.gov/cgi-bin/tsearch?artistid=34239
"Ichiro, Fukushima",Japanese,active 20th century,https://web.archive.org/web/20121007172931/http://www.nga.gov/cgi-bin/tsearch?artistid=4413
"Ida, Shoichi",Japanese,born 1941,https://web.archive.org/web/20121007172931/http://www.nga.gov/cgi-bin/tsearch?artistid=19104
"Iglicki, Suzy",Austrian,20th century,https://web.archive.org/web/20121007172931/http://www.nga.gov/cgi-bin/tsearch?artistid=26440
"Ignatow, David",American,born 1914,https://web.archive.org/web/20121007172931/http://www.nga.gov/cgi-bin/tsearch?artistid=21168
"Ihle, John Livingston",American,born 1925,https://web.archive.org/web/20121007172931/http://www.nga.gov/cgi-bin/tsearch?artistid=4414
"Ikeda, Masuo",Japanese,born 1934,https://web.archive.org/web/20121007172931/http://www.nga.gov/cgi-bin/tsearch?artistid=5925
"Ikeda, Shuzo",Japanese,born 1922,https://web.archive.org/web/20121007172931/http://www.nga.gov/cgi-bin/tsearch?artistid=4415
"Ikeda, Tatsuo",Japanese,active 20th century,https://web.archive.org/web/20121007172931/http://www.nga.gov/cgi-bin/tsearch?artistid=4416
Il Prete Savonese,Italian,1654 - 1709,https://web.archive.org/web/20121007172931/http://www.nga.gov/cgi-bin/tsearch?artistid=6667
"Iliff, Cynthia Willard",American,born 1907,https://web.archive.org/web/20121007172931/http://www.nga.gov/cgi-bin/tsearch?artistid=4417
"Iliff (Koehler), Cynthia Willard",American,1906 - 1998,https://web.archive.org/web/20121007172931/http://www.nga.gov/cgi-bin/tsearch?artistid=33588
"Illies, Karl Wilhelm Arthur",German,1870 - 1952,https://web.archive.org/web/20121007172931/http://www.nga.gov/cgi-bin/tsearch?artistid=30188
"Illingworth, Adeline S.",British,1858 - 1930 or after,https://web.archive.org/web/20121007172931/http://www.nga.gov/cgi-bin/tsearch?artistid=4418
"Imai, Toshimitsu",Japanese,born 1928,https://web.archive.org/web/20121007172931/http://www.nga.gov/cgi-bin/tsearch?artistid=4419
"Imbert, Barthelemy",French,1747 - 1790,https://web.archive.org/web/20121007172931/http://www.nga.gov/cgi-bin/tsearch?artistid=7016
"Imhof, Joseph A.",American,1871 - 1955,https://web.archive.org/web/20121007172931/http://www.nga.gov/cgi-bin/tsearch?artistid=33589
"Imler, Edgar",American,1890 - 1973,https://web.archive.org/web/20121007172931/http://www.nga.gov/cgi-bin/tsearch?artistid=33590
"Immendorff, Jörg",German,1945 - 2007,https://web.archive.org/web/20121007172931/http://www.nga.gov/cgi-bin/tsearch?artistid=6753
"Imperiale I, Girolamo",Italian,died c. 1639,https://web.archive.org/web/20121007172931/http://www.nga.gov/cgi-bin/tsearch?artistid=4420
"Ince, Joseph Murray",British,1806 - 1859,https://web.archive.org/web/20121007172931/http://www.nga.gov/cgi-bin/tsearch?artistid=6279
"Ince, William",British,active 1760s - 1804,https://web.archive.org/web/20121007172931/http://www.nga.gov/cgi-bin/tsearch?artistid=11540
"India, Bernardino",Italian,1528 - 1590,https://web.archive.org/web/20121007172931/http://www.nga.gov/cgi-bin/tsearch?artistid=2579
Indian 17th Century,NA,NA,https://web.archive.org/web/20121007172931/http://www.nga.gov/cgi-bin/tsearch?artistid=22947
"Jack, Mabel Wellington",American,1890 - 1970,https://web.archive.org/web/20121007172910/http://www.nga.gov/cgi-bin/tsearch?artistid=33591
"Jackman, R.",American,active c. 1935,https://web.archive.org/web/20121007172910/http://www.nga.gov/cgi-bin/tsearch?artistid=7674
"Jackson, Alene",active second half 20th century,,https://web.archive.org/web/20121007172910/http://www.nga.gov/cgi-bin/tsearch?artistid=24900
"Jackson, Alexander Young",Canadian,1883 - 1974,https://web.archive.org/web/20121007172910/http://www.nga.gov/cgi-bin/tsearch?artistid=33592
"Jackson, Billy Morrow",American,1926 - 2006,https://web.archive.org/web/20121007172910/http://www.nga.gov/cgi-bin/tsearch?artistid=1416
"Jackson, Everett Gee",American,1900 - 1995,https://web.archive.org/web/20121007172910/http://www.nga.gov/cgi-bin/tsearch?artistid=33593
"Jackson, Frederick",American,active c. 1935,https://web.archive.org/web/20121007172910/http://www.nga.gov/cgi-bin/tsearch?artistid=7675
"Jackson, Gordena",American,1900 - 1993,https://web.archive.org/web/20121007172910/http://www.nga.gov/cgi-bin/tsearch?artistid=7676
"Jackson, Gwendolyn",American,active c. 1935,https://web.archive.org/web/20121007172910/http://www.nga.gov/cgi-bin/tsearch?artistid=7677
"Jackson, Helfond",American,,https://web.archive.org/web/20121007172910/http://www.nga.gov/cgi-bin/tsearch?artistid=33594
"Jackson, John",British,1778 - 1831,https://web.archive.org/web/20121007172910/http://www.nga.gov/cgi-bin/tsearch?artistid=6117
"Jackson, John Baptist",English,1701 - c. 1780,https://web.archive.org/web/20121007172910/http://www.nga.gov/cgi-bin/tsearch?artistid=4432
"Jackson, Martin",American,1919 - 1986,https://web.archive.org/web/20121007172910/http://www.nga.gov/cgi-bin/tsearch?artistid=33595
"Jackson, Matthew",American,born 1974,https://web.archive.org/web/20121007172910/http://www.nga.gov/cgi-bin/tsearch?artistid=26008
"Jackson, Robert",American,,https://web.archive.org/web/20121007172910/http://www.nga.gov/cgi-bin/tsearch?artistid=33596
"Jackson, Samuel",British,1794 - 1869,https://web.archive.org/web/20121007172910/http://www.nga.gov/cgi-bin/tsearch?artistid=10237
"Jackson, Vaughn L.",American,1920 - 1999,https://web.archive.org/web/20121007172910/http://www.nga.gov/cgi-bin/tsearch?artistid=34240
"Jackson, William Henry",American,1843 - 1942,https://web.archive.org/web/20121007172910/http://www.nga.gov/cgi-bin/tsearch?artistid=18691
Jackson of Battersea,English,1701 - c. 1780,https://web.archive.org/web/20121007172910/http://www.nga.gov/cgi-bin/tsearch?artistid=4432
"Jacob, Betty",American,active c. 1935,https://web.archive.org/web/20121007172910/http://www.nga.gov/cgi-bin/tsearch?artistid=7678
"Jacob, Max",French,1876 - 1944,https://web.archive.org/web/20121007172910/http://www.nga.gov/cgi-bin/tsearch?artistid=14553
"Jacob, Nicolas-Henri",French,1782 - 1871,https://web.archive.org/web/20121007172910/http://www.nga.gov/cgi-bin/tsearch?artistid=4434
"Jacobe, Johann",Austrian,1733 - 1797,https://web.archive.org/web/20121007172910/http://www.nga.gov/cgi-bin/tsearch?artistid=4435
"Jacobi, Eli",American,1898 - 1984,https://web.archive.org/web/20121007172910/http://www.nga.gov/cgi-bin/tsearch?artistid=33597
"Jacobi, Lotte",American,born Germany,https://web.archive.org/web/20121007172910/http://www.nga.gov/cgi-bin/tsearch?artistid=21724
"Jacobs, Abraham",American,born Poland,https://web.archive.org/web/20121007172910/http://www.nga.gov/cgi-bin/tsearch?artistid=34653
"Jacobs, William",American,1897 - 1973,https://web.archive.org/web/20121007172910/http://www.nga.gov/cgi-bin/tsearch?artistid=33598
"Jacobson, Emanuel",American,active c. 1935,https://web.archive.org/web/20121007172910/http://www.nga.gov/cgi-bin/tsearch?artistid=7679
"Kaar, Virginia",American,1910 - 1966,https://web.archive.org/web/20121007172938/http://www.nga.gov/cgi-bin/tsearch?artistid=35064
"Kabakov, Ilya",Russian,born 1933,https://web.archive.org/web/20121007172938/http://www.nga.gov/cgi-bin/tsearch?artistid=9675
"Kabaphes, Khonstantinos Petrou",Greek,1863 - 1933,https://web.archive.org/web/20121007172938/http://www.nga.gov/cgi-bin/tsearch?artistid=7163
"Kabátová-Táborská, Zdenka",Czech,born 1933,https://web.archive.org/web/20121007172938/http://www.nga.gov/cgi-bin/tsearch?artistid=24845
"Kadar, G.",NA,NA,https://web.archive.org/web/20121007172938/http://www.nga.gov/cgi-bin/tsearch?artistid=23714
"Kadish, Reuben",American,1913 - 1992,https://web.archive.org/web/20121007172938/http://www.nga.gov/cgi-bin/tsearch?artistid=4473
"Kaendler, Johann Joachim",German,c. 1706 - 1775,https://web.archive.org/web/20121007172938/http://www.nga.gov/cgi-bin/tsearch?artistid=2315
"Kafka, Cestmir",Czech,1922 - 1988,https://web.archive.org/web/20121007172938/http://www.nga.gov/cgi-bin/tsearch?artistid=19982
"Kafka, Franz",Czech,1883 - 1924,https://web.archive.org/web/20121007172938/http://www.nga.gov/cgi-bin/tsearch?artistid=23734
"Kager, Johann Matthias",German,1575 - 1634,https://web.archive.org/web/20121007172938/http://www.nga.gov/cgi-bin/tsearch?artistid=5582
"Kagy, Sheffield Harold",American,1907 - 1989,https://web.archive.org/web/20121007172938/http://www.nga.gov/cgi-bin/tsearch?artistid=33612
"Kahn, Gustave",French,1859 - 1936,https://web.archive.org/web/20121007172938/http://www.nga.gov/cgi-bin/tsearch?artistid=22215
"Kahn, Max",American,born 1904,https://web.archive.org/web/20121007172938/http://www.nga.gov/cgi-bin/tsearch?artistid=4474
"Kaihatsu, Francis",American,born 1927,https://web.archive.org/web/20121007172938/http://www.nga.gov/cgi-bin/tsearch?artistid=33613
"Kainen, Daniel",American,active second half 20th century,https://web.archive.org/web/20121007172938/http://www.nga.gov/cgi-bin/tsearch?artistid=24972
"Kainen, Jacob",American,1909 - 2001,https://web.archive.org/web/20121007172938/http://www.nga.gov/cgi-bin/tsearch?artistid=4475
"Kaiser, Jaroslav",Czech,born 1919,https://web.archive.org/web/20121007172938/http://www.nga.gov/cgi-bin/tsearch?artistid=24839
"Kaiser, Ray",American,1912 - 1988,https://web.archive.org/web/20121007172938/http://www.nga.gov/cgi-bin/tsearch?artistid=33614
"Kaisermann, Franz",Swiss,1765 - 1833,https://web.archive.org/web/20121007172938/http://www.nga.gov/cgi-bin/tsearch?artistid=26720
"Kaisersberg, Johann Geiler von",German,1445 - 1510,https://web.archive.org/web/20121007172938/http://www.nga.gov/cgi-bin/tsearch?artistid=36268
"Kaizl, Mirko",NA,NA,https://web.archive.org/web/20121007172938/http://www.nga.gov/cgi-bin/tsearch?artistid=25685
"Kajimoto, Tsutomu",active late 20th century,,https://web.archive.org/web/20121007172938/http://www.nga.gov/cgi-bin/tsearch?artistid=25677
"Kalckreuth, Eduard Stanislaus Graf von",German,1820 - 1894,https://web.archive.org/web/20121007172938/http://www.nga.gov/cgi-bin/tsearch?artistid=25699
"Kalckreuth, Leopold von",German,1855 - 1928,https://web.archive.org/web/20121007172938/http://www.nga.gov/cgi-bin/tsearch?artistid=31162
"Kalckreuth, Stanislaus Graf von",German,1820 - 1894,https://web.archive.org/web/20121007172938/http://www.nga.gov/cgi-bin/tsearch?artistid=25699
"Káldor, László",Hungarian,1905 - 1963,https://web.archive.org/web/20121007172938/http://www.nga.gov/cgi-bin/tsearch?artistid=28082
"Kalf, Willem",Dutch,1619 - 1693,https://web.archive.org/web/20121007172938/http://www.nga.gov/cgi-bin/tsearch?artistid=1430
Kálidása,active 4th century,,https://web.archive.org/web/20121007172938/http://www.nga.gov/cgi-bin/tsearch?artistid=33100
"La Badessa, Vincent",American,active 1940s,https://web.archive.org/web/20121007173056/http://www.nga.gov/cgi-bin/tsearch?artistid=4555
"La Boissiere, Simon de",French,active c. 1687,https://web.archive.org/web/20121007173056/http://www.nga.gov/cgi-bin/tsearch?artistid=4556
"La Borde, Jean Benjamin de",French,1734 - 1794,https://web.archive.org/web/20121007173056/http://www.nga.gov/cgi-bin/tsearch?artistid=7019
"La Cave, Francois Morellon de",French,active 1723/1765,https://web.archive.org/web/20121007173056/http://www.nga.gov/cgi-bin/tsearch?artistid=6036
"La Fage, Nicolas-Raymond de",French,1656 - 1690,https://web.archive.org/web/20121007173056/http://www.nga.gov/cgi-bin/tsearch?artistid=2602
"La Farge, John",American,1835 - 1910,https://web.archive.org/web/20121007173056/http://www.nga.gov/cgi-bin/tsearch?artistid=1446
"La Farge, Thomas",American,1900 - 1941,https://web.archive.org/web/20121007173056/http://www.nga.gov/cgi-bin/tsearch?artistid=5744
"La Fontaine, Jean de",French,1621 - 1695,https://web.archive.org/web/20121007173056/http://www.nga.gov/cgi-bin/tsearch?artistid=7022
"La Foret, Eugene",American,active c. 1935,https://web.archive.org/web/20121007173056/http://www.nga.gov/cgi-bin/tsearch?artistid=7745
"La Fosse, Charles de",French,1636 - 1716,https://web.archive.org/web/20121007173056/http://www.nga.gov/cgi-bin/tsearch?artistid=27434
"La Fresnaye, Roger de",French,1885 - 1925,https://web.archive.org/web/20121007173056/http://www.nga.gov/cgi-bin/tsearch?artistid=1448
"La Fresnaye, Roger-Noel-Francois de",French,1885 - 1925,https://web.archive.org/web/20121007173056/http://www.nga.gov/cgi-bin/tsearch?artistid=1448
"La Gandara, Antonio de",French,1861 - 1917,https://web.archive.org/web/20121007173056/http://www.nga.gov/cgi-bin/tsearch?artistid=19185
"La Guillermie, Frederic-Auguste",French,1841 - 1934,https://web.archive.org/web/20121007173056/http://www.nga.gov/cgi-bin/tsearch?artistid=4564
"La Harpe, Jean-Francois de",French,1739 - 1803,https://web.archive.org/web/20121007173056/http://www.nga.gov/cgi-bin/tsearch?artistid=7023
"La Hire, Laurent de",French,1606 - 1656,https://web.archive.org/web/20121007173056/http://www.nga.gov/cgi-bin/tsearch?artistid=5599
"La Hyre, Laurent de",French,1606 - 1656,https://web.archive.org/web/20121007173056/http://www.nga.gov/cgi-bin/tsearch?artistid=5599
"La Jeunesse, Ernest",French,1874 - 1917,https://web.archive.org/web/20121007173056/http://www.nga.gov/cgi-bin/tsearch?artistid=18400
"La More, Chet Harmon",American,1908 - 1980,https://web.archive.org/web/20121007173056/http://www.nga.gov/cgi-bin/tsearch?artistid=33670
"La Motte, Antoine Houdar de",French,1672 - 1731,https://web.archive.org/web/20121007173056/http://www.nga.gov/cgi-bin/tsearch?artistid=7024
"La Rochfoucauld, François, duc de",French,1613 - 1680,https://web.archive.org/web/20121007173056/http://www.nga.gov/cgi-bin/tsearch?artistid=7026
"La Rue, Hendrik de",Dutch,1665 - 1722,https://web.archive.org/web/20121007173056/http://www.nga.gov/cgi-bin/tsearch?artistid=22211
"La Rue, Louis-Felix de",French,1731 - 1765,https://web.archive.org/web/20121007173056/http://www.nga.gov/cgi-bin/tsearch?artistid=6787
"La Serre, Jean Puget de",French,1600 - 1665,https://web.archive.org/web/20121007173056/http://www.nga.gov/cgi-bin/tsearch?artistid=7027
"La Tour, Claude du Menil de",French,1593 - 1652,https://web.archive.org/web/20121007173056/http://www.nga.gov/cgi-bin/tsearch?artistid=1461
"La Tour, Georges de",French,1593 - 1652,https://web.archive.org/web/20121007173056/http://www.nga.gov/cgi-bin/tsearch?artistid=1461
"La Tour, Georges du Mesnil de",French,1593 - 1652,https://web.archive.org/web/20121007173056/http://www.nga.gov/cgi-bin/tsearch?artistid=1461
"La Tour, Maurice-Quentin de",French,1704 - 1788,https://web.archive.org/web/20121007173056/http://www.nga.gov/cgi-bin/tsearch?artistid=1462
"Maar, Dora",French,1907 - 1997,https://web.archive.org/web/20121007172927/http://www.nga.gov/cgi-bin/tsearch?artistid=10865
"Mabuse, Jan",Netherlandish,c. 1478 - 1532,https://web.archive.org/web/20121007172927/http://www.nga.gov/cgi-bin/tsearch?artistid=1352
"Mac Orlan, Pierre",French,1882 - 1970,https://web.archive.org/web/20121007172927/http://www.nga.gov/cgi-bin/tsearch?artistid=14550
"MacArdell, James",Irish,1728/1729 - 1765,https://web.archive.org/web/20121007172927/http://www.nga.gov/cgi-bin/tsearch?artistid=4771
"MacCoy, Guy",American,1904 - 1981,https://web.archive.org/web/20121007172927/http://www.nga.gov/cgi-bin/tsearch?artistid=4772
"MacDermott, David",American,active 1960s,https://web.archive.org/web/20121007172927/http://www.nga.gov/cgi-bin/tsearch?artistid=4773
"MacDermott, Diane Conard",American,active 1960s,https://web.archive.org/web/20121007172927/http://www.nga.gov/cgi-bin/tsearch?artistid=4774
"Macdonald-Wright, Stanton",American,1890 - 1973,https://web.archive.org/web/20121007172927/http://www.nga.gov/cgi-bin/tsearch?artistid=14611
"Mace, Frank J.",American,active c. 1935,https://web.archive.org/web/20121007172927/http://www.nga.gov/cgi-bin/tsearch?artistid=7796
"MacEdwards, Barbara Chalmers",American,1906 - 1980,https://web.archive.org/web/20121007172927/http://www.nga.gov/cgi-bin/tsearch?artistid=34901
"MacGilchrist, John",American,1893 - 1977,https://web.archive.org/web/20121007172927/http://www.nga.gov/cgi-bin/tsearch?artistid=33736
"MacGowan, Clara",American,1895 - 1970,https://web.archive.org/web/20121007172927/http://www.nga.gov/cgi-bin/tsearch?artistid=33737
"MacIver, Loren",American,born 1909,https://web.archive.org/web/20121007172927/http://www.nga.gov/cgi-bin/tsearch?artistid=4775
"Mack, Harry Francis",American,born 1907,https://web.archive.org/web/20121007172927/http://www.nga.gov/cgi-bin/tsearch?artistid=33738
"Mack, Warren Bryan",American,1896 - 1952,https://web.archive.org/web/20121007172927/http://www.nga.gov/cgi-bin/tsearch?artistid=4776
MacKay,American,active 1791,https://web.archive.org/web/20121007172927/http://www.nga.gov/cgi-bin/tsearch?artistid=1502
"Macke, August",German,1887 - 1914,https://web.archive.org/web/20121007172927/http://www.nga.gov/cgi-bin/tsearch?artistid=21663
"MacKenzie, Roderick D.",American,1865 - 1941,https://web.archive.org/web/20121007172927/http://www.nga.gov/cgi-bin/tsearch?artistid=33739
"Mackenzie, Warren",American,born 1924,https://web.archive.org/web/20121007172927/http://www.nga.gov/cgi-bin/tsearch?artistid=33740
"Macklem, Leslie",American,active c. 1935,https://web.archive.org/web/20121007172927/http://www.nga.gov/cgi-bin/tsearch?artistid=7797
"Mackstauer, Fred",American,active 20th century,https://web.archive.org/web/20121007172927/http://www.nga.gov/cgi-bin/tsearch?artistid=4777
"Mackworth, H.",British,active 1767/1771,https://web.archive.org/web/20121007172927/http://www.nga.gov/cgi-bin/tsearch?artistid=14770
"MacLaughlan, Donald Shaw",Canadian,1876 - 1938,https://web.archive.org/web/20121007172927/http://www.nga.gov/cgi-bin/tsearch?artistid=4778
"MacLeod, Alexander Samuel",American,born 1888,https://web.archive.org/web/20121007172927/http://www.nga.gov/cgi-bin/tsearch?artistid=4779
"MacLeod, William Douglas",Scottish,born 1892,https://web.archive.org/web/20121007172927/http://www.nga.gov/cgi-bin/tsearch?artistid=4780
"MacLise, Angus",American,1938 - 1979,https://web.archive.org/web/20121007172927/http://www.nga.gov/cgi-bin/tsearch?artistid=10585
"MacMonnies, Frederick William",American,1863 - 1937,https://web.archive.org/web/20121007172927/http://www.nga.gov/cgi-bin/tsearch?artistid=32740
"MacNab, Iaian",British,1890 - 1967,https://web.archive.org/web/20121007172927/http://www.nga.gov/cgi-bin/tsearch?artistid=6599
Nadar,French,1820 - 1910,https://web.archive.org/web/20121007172944/http://www.nga.gov/cgi-bin/tsearch?artistid=13410
"Nadar, Paul",French,1856 - 1939,https://web.archive.org/web/20121007172944/http://www.nga.gov/cgi-bin/tsearch?artistid=24387
"Nadelman, Elie",American,1882 - 1946,https://web.archive.org/web/20121007172944/http://www.nga.gov/cgi-bin/tsearch?artistid=2206
"Naeke, Gustav Heinrich",German,1786 - 1835,https://web.archive.org/web/20121007172944/http://www.nga.gov/cgi-bin/tsearch?artistid=23273
"Nagare, Masayuki",Japanese,born 1923,https://web.archive.org/web/20121007172944/http://www.nga.gov/cgi-bin/tsearch?artistid=2207
"Nagase, Yoshiro",Japanese,born 1891,https://web.archive.org/web/20121007172944/http://www.nga.gov/cgi-bin/tsearch?artistid=5068
"Nagel, Hanna",German,1907 - 1975,https://web.archive.org/web/20121007172944/http://www.nga.gov/cgi-bin/tsearch?artistid=35364
"Nagler, Fred",American,1891 - 1983,https://web.archive.org/web/20121007172944/http://www.nga.gov/cgi-bin/tsearch?artistid=33834
"Nahl II, Johann August",German,1752 - 1825,https://web.archive.org/web/20121007172944/http://www.nga.gov/cgi-bin/tsearch?artistid=5615
"Naigeon, Jean-Claude",French,1753 - 1832,https://web.archive.org/web/20121007172944/http://www.nga.gov/cgi-bin/tsearch?artistid=5069
"Nakamizo, Fugi",American,1889 - 1950,https://web.archive.org/web/20121007172944/http://www.nga.gov/cgi-bin/tsearch?artistid=33835
"Nakao, Yoshitaka",Japanese,born 1911,https://web.archive.org/web/20121007172944/http://www.nga.gov/cgi-bin/tsearch?artistid=5070
"Nakayama, Tadashi",Japanese,born 1927,https://web.archive.org/web/20121007172944/http://www.nga.gov/cgi-bin/tsearch?artistid=5071
"Nakazato, Hitoshi",Japanese,born 1936,https://web.archive.org/web/20121007172944/http://www.nga.gov/cgi-bin/tsearch?artistid=35383
"Nakian, Reuben",American,1897 - 1986,https://web.archive.org/web/20121007172944/http://www.nga.gov/cgi-bin/tsearch?artistid=5072
"Naldini, Giovanni Battista",Italian,1537 - 1591,https://web.archive.org/web/20121007172944/http://www.nga.gov/cgi-bin/tsearch?artistid=2658
"Nam, Yoon Mi",NA,NA,https://web.archive.org/web/20121007172944/http://www.nga.gov/cgi-bin/tsearch?artistid=27217
"Nambata, Tatsuoki",Japanese,born 1905,https://web.archive.org/web/20121007172944/http://www.nga.gov/cgi-bin/tsearch?artistid=5073
"Name, Billy",American,born 1940,https://web.archive.org/web/20121007172944/http://www.nga.gov/cgi-bin/tsearch?artistid=31191
"Namuth, Hans",American,1915 - 1990,https://web.archive.org/web/20121007172944/http://www.nga.gov/cgi-bin/tsearch?artistid=31098
"Nanaka, Kenjiro",NA,NA,https://web.archive.org/web/20121007172944/http://www.nga.gov/cgi-bin/tsearch?artistid=15464
"Nanao, Kenjilo",American (?),born 1929,https://web.archive.org/web/20121007172944/http://www.nga.gov/cgi-bin/tsearch?artistid=5804
"Nancy, Anello",American,,https://web.archive.org/web/20121007172944/http://www.nga.gov/cgi-bin/tsearch?artistid=26721
Nancy 16th Century,NA,NA,https://web.archive.org/web/20121007172944/http://www.nga.gov/cgi-bin/tsearch?artistid=6694
"Nankivell, Frank A.",American,born Australia,https://web.archive.org/web/20121007172944/http://www.nga.gov/cgi-bin/tsearch?artistid=29945
"Nansen, Peter",Danish,1861 - 1918,https://web.archive.org/web/20121007172944/http://www.nga.gov/cgi-bin/tsearch?artistid=22835
"Nanteuil, Célestin",French,1813 - 1873,https://web.archive.org/web/20121007172944/http://www.nga.gov/cgi-bin/tsearch?artistid=2660
"Nanteuil, Robert",French,1623 - 1678,https://web.archive.org/web/20121007172944/http://www.nga.gov/cgi-bin/tsearch?artistid=2659
"Oakley, Thornton",American,1881 - 1955,https://web.archive.org/web/20121007172952/http://www.nga.gov/cgi-bin/tsearch?artistid=33847
"Oakley, Violet",American,1874 - 1961,https://web.archive.org/web/20121007172952/http://www.nga.gov/cgi-bin/tsearch?artistid=5749
"O'Bergh, Carl",American,1911 - 1978,https://web.archive.org/web/20121007172952/http://www.nga.gov/cgi-bin/tsearch?artistid=7908
"Oberhoff, Ernst",German,born 1906,https://web.archive.org/web/20121007172952/http://www.nga.gov/cgi-bin/tsearch?artistid=5113
"O'Brien, Edward",American,active 1973,https://web.archive.org/web/20121007172952/http://www.nga.gov/cgi-bin/tsearch?artistid=2667
"Obsequens, Julius",Latin,active mid 4th century,https://web.archive.org/web/20121007172952/http://www.nga.gov/cgi-bin/tsearch?artistid=7122
"O'Callahan, Kevin B.",American,1902 - 1977,https://web.archive.org/web/20121007172952/http://www.nga.gov/cgi-bin/tsearch?artistid=33848
"Ocampo, Miguel",Argentinean,born 1922,https://web.archive.org/web/20121007172952/http://www.nga.gov/cgi-bin/tsearch?artistid=6586
"Ochikubo, Tetsuo",American,1923 - 1975,https://web.archive.org/web/20121007172952/http://www.nga.gov/cgi-bin/tsearch?artistid=5114
"O'Connell, Friederike Emilie Auguste",German,1823 - 1885,https://web.archive.org/web/20121007172952/http://www.nga.gov/cgi-bin/tsearch?artistid=5115
"O'Connor, Thom",American,born 1937,https://web.archive.org/web/20121007172952/http://www.nga.gov/cgi-bin/tsearch?artistid=5856
"O'Connor, Thomas",American,active c. 1935,https://web.archive.org/web/20121007172952/http://www.nga.gov/cgi-bin/tsearch?artistid=7909
"Odazzi, Giovanni",Italian,1663 - 1731,https://web.archive.org/web/20121007172952/http://www.nga.gov/cgi-bin/tsearch?artistid=36738
"Odle, Dorothy",British,1873 - 1957,https://web.archive.org/web/20121007172952/http://www.nga.gov/cgi-bin/tsearch?artistid=16985
"O'Doherty, Brian",American,born 1935,https://web.archive.org/web/20121007172952/http://www.nga.gov/cgi-bin/tsearch?artistid=10140
"O'Donnell, Hugh",British,born 1950,https://web.archive.org/web/20121007172952/http://www.nga.gov/cgi-bin/tsearch?artistid=11347
