Name,Nationality,Years,Link
"Bacon, Peggy",American,1895 - 1987,https://web.archive.org/web/20121007172915/http://www.nga.gov/cgi-bin/tsearch?artistid=2952
"Badalocchio, Sisto",Italian,1585 - 1647,https://web.archive.org/web/20121007172915/http://www.nga.gov/cgi-bin/tsearch?artistid=22775
"Baden, Aiko",NA,NA,https://web.archive.org/web/20121007172915/http://www.nga.gov/cgi-bin/tsearch?artistid=19608
"Baden, Ken",NA,NA,https://web.archive.org/web/20121007172915/http://www.nga.gov/cgi-bin/tsearch?artistid=19607
"Baden, Stanley",active late 20th century,,https://web.archive.org/web/20121007172915/http://www.nga.gov/cgi-bin/tsearch?artistid=25703
"Bader, Herman",American,active c. 1935,https://web.archive.org/web/20121007172915/http://www.nga.gov/cgi-bin/tsearch?artistid=7222
"Badger, Frances S.",American,1904 - 1997,https://web.archive.org/web/20121007172915/http://www.nga.gov/cgi-bin/tsearch?artistid=33143
"Badger, Joseph",American,1708 - 1765,https://web.archive.org/web/20121007172915/http://www.nga.gov/cgi-bin/tsearch?artistid=133
"Badii, Libero",Argentinean,born 1916,https://web.archive.org/web/20121007172915/http://www.nga.gov/cgi-bin/tsearch?artistid=6579
"Badin, Ferdinand",American,active c. 1935,https://web.archive.org/web/20121007172915/http://www.nga.gov/cgi-bin/tsearch?artistid=7223
"Cabouret, F.",French,active 17th century,https://web.archive.org/web/20121007173015/http://www.nga.gov/cgi-bin/tsearch?artistid=6072
"Cacciarini, Gianni",Italian,born 1941,https://web.archive.org/web/20121007173015/http://www.nga.gov/cgi-bin/tsearch?artistid=3654
"Caccini, Giovanni Battista",Italian,1556 - 1612/1613,https://web.archive.org/web/20121007173015/http://www.nga.gov/cgi-bin/tsearch?artistid=5771
"Cadart, Alfred",French,1828 - 1875,https://web.archive.org/web/20121007173015/http://www.nga.gov/cgi-bin/tsearch?artistid=3655
"Cadere, André",Romanian,1934 - 1978,https://web.archive.org/web/20121007173015/http://www.nga.gov/cgi-bin/tsearch?artistid=10145
"Cades, Giuseppe",Italian,1750 - 1799,https://web.archive.org/web/20121007173015/http://www.nga.gov/cgi-bin/tsearch?artistid=6819
"Cadmus, Paul",American,1904 - 1999,https://web.archive.org/web/20121007173015/http://www.nga.gov/cgi-bin/tsearch?artistid=3656
"Cady, Harrison",American,1877 - 1970,https://web.archive.org/web/20121007173015/http://www.nga.gov/cgi-bin/tsearch?artistid=33262
"Caffi, Ippolito",Italian,1809 - 1866,https://web.archive.org/web/20121007173015/http://www.nga.gov/cgi-bin/tsearch?artistid=34366
"Caffiéri, Jacques",French,1678 - 1755,https://web.archive.org/web/20121007173015/http://www.nga.gov/cgi-bin/tsearch?artistid=5507
"Cage, John",American,1912 - 1992,https://web.archive.org/web/20121007173015/http://www.nga.gov/cgi-bin/tsearch?artistid=6936
"Cagnacci, Guido",Italian,1601 - 1663,https://web.archive.org/web/20121007173015/http://www.nga.gov/cgi-bin/tsearch?artistid=22797
"Cagnola, Luigi",Italian,1762 - 1833,https://web.archive.org/web/20121007173015/http://www.nga.gov/cgi-bin/tsearch?artistid=34761
"Cahn, Marcelle",French,1895 - 1981,https://web.archive.org/web/20121007173015/http://www.nga.gov/cgi-bin/tsearch?artistid=3657
"Caillebotte, Gustave",French,1848 - 1894,https://web.archive.org/web/20121007173015/http://www.nga.gov/cgi-bin/tsearch?artistid=5987
"Caillou, Jean",Swiss,1859 - 1923,https://web.archive.org/web/20121007173015/http://www.nga.gov/cgi-bin/tsearch?artistid=1902
"Cain, Auguste-Nicolas",French,1821 - 1894,https://web.archive.org/web/20121007173015/http://www.nga.gov/cgi-bin/tsearch?artistid=2046
"Cain, Charles William",British,1893 - 1962,https://web.archive.org/web/20121007173015/http://www.nga.gov/cgi-bin/tsearch?artistid=3658
"Cain, Fred",American,born 1938,https://web.archive.org/web/20121007173015/http://www.nga.gov/cgi-bin/tsearch?artistid=3659
"Cain, J. Frederick Jr.",American,born 1938,https://web.archive.org/web/20121007173015/http://www.nga.gov/cgi-bin/tsearch?artistid=3659
"Cairano, Gasparo",Italian,active 1489/1513 - died by 1519,https://web.archive.org/web/20121007173015/http://www.nga.gov/cgi-bin/tsearch?artistid=30346
"Caithness, Earl of",British,1821 - 1881,https://web.archive.org/web/20121007173015/http://www.nga.gov/cgi-bin/tsearch?artistid=16464
"Calabrese, il",Italian,c. 1486 - 1542,https://web.archive.org/web/20121007173015/http://www.nga.gov/cgi-bin/tsearch?artistid=3688
"Calame, Alexandre",Swiss,1810 - 1864,https://web.archive.org/web/20121007173015/http://www.nga.gov/cgi-bin/tsearch?artistid=21261
"Calapai, Letterio",American,1902 - 1993,https://web.archive.org/web/20121007173015/http://www.nga.gov/cgi-bin/tsearch?artistid=3660
"Calas, Nicolas",American,born 1907,https://web.archive.org/web/20121007173015/http://www.nga.gov/cgi-bin/tsearch?artistid=10414
"Calcagno, Lawrence",American,1913 - 1993,https://web.archive.org/web/20121007173015/http://www.nga.gov/cgi-bin/tsearch?artistid=1073
"Caldara, Polidoro",Italian,c. 1499 - probably 1543,https://web.archive.org/web/20121007173015/http://www.nga.gov/cgi-bin/tsearch?artistid=2688
"da Caravaggio, Polidoro",Italian,c. 1499 - probably 1543,https://web.archive.org/web/20121007173048/http://www.nga.gov/cgi-bin/tsearch?artistid=2688
"da Carpi, Ugo",Italian,c. 1480 - 1532,https://web.archive.org/web/20121007173048/http://www.nga.gov/cgi-bin/tsearch?artistid=3694
"da Cavino, Giovanni",Italian,1500 - 1570,https://web.archive.org/web/20121007173048/http://www.nga.gov/cgi-bin/tsearch?artistid=2062
"da Ferrara, Costanzo",Italian,c. 1450 - died after 1524,https://web.archive.org/web/20121007173048/http://www.nga.gov/cgi-bin/tsearch?artistid=2071
"da Maiano, Benedetto",Italian,1442 - 1497,https://web.archive.org/web/20121007173048/http://www.nga.gov/cgi-bin/tsearch?artistid=2021
"da Milano, Amadio",Italian,died c. 1483,https://web.archive.org/web/20121007173048/http://www.nga.gov/cgi-bin/tsearch?artistid=2003
"da Sangallo, Francesco",Italian,1494 - 1576,https://web.archive.org/web/20121007173048/http://www.nga.gov/cgi-bin/tsearch?artistid=2113
"da Settignano, Desiderio",Italian,c. 1429 - 1464,https://web.archive.org/web/20121007173048/http://www.nga.gov/cgi-bin/tsearch?artistid=2083
"da Siena, Matteo",Italian,c. 1430 - 1497,https://web.archive.org/web/20121007173048/http://www.nga.gov/cgi-bin/tsearch?artistid=1708
"da Trento, Antonio",Italian,c. 1508 - 1550 or after,https://web.archive.org/web/20121007173048/http://www.nga.gov/cgi-bin/tsearch?artistid=2909
